央视,#genre#
兵团卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225707/10000100000000060000000000391858_0.smil
三沙卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225804/10000100000000060000000001515181_0.smil
中国教育1,rtsp://58.22.135.5:554/PLTV/88888909/224/3221225976/10000100000000060000000004308955_0.smil
中国教育2,rtsp://220.200.30.136/PLTV/88888909/224/3221225747/10000100000000060000000000403955_0.smil
中国教育4,rtsp://220.200.30.136/PLTV/88888909/224/3221225748/10000100000000060000000000403956_0.smil
山东教育,rtsp://112.111.36.140/PLTV/88888909/224/3221225705/10000100000000060000000000391773_0.smil

数字,#genre#
CHC家庭影院,http://222.209.208.234:7088/rtp/239.93.42.6:5140
CHC动作电影,http://222.209.208.234:7088/rtp/239.93.42.7:5140
CHC影迷电影,http://222.209.208.234:7088/rtp/239.93.42.5:5140
淘电影,http://naslmd.myqnapcloud.com:4022/rtp/239.3.1.250:8001#http://ry.soff.cn:4022/rtp/239.3.1.250:8001
淘Baby,http://naslmd.myqnapcloud.com:4022/rtp/239.3.1.238:8001
北京体育,http://naslmd.myqnapcloud.com:4022/rtp/239.3.1.243:8000
北京纪实,http://naslmd.myqnapcloud.com:4022/rtp/239.3.1.115:8000
魅力足球,http://naslmd.myqnapcloud.com:4022/rtp/239.3.1.201:8001
睛彩篮球,http://naslmd.myqnapcloud.com:4022/rtp/239.3.1.126:8001
睛彩青少,http://naslmd.myqnapcloud.com:4022/rtp/239.3.1.127:8001
睛彩竞技,http://naslmd.myqnapcloud.com:4022/rtp/239.3.1.125:8001
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv

劲爆体育,http://222.209.208.234:7088/rtp/239.93.42.98:5140
求索纪录,http://222.209.208.234:7088/rtp/239.93.42.24:5140
CCTV兵器科技,http://222.209.208.234:7088/rtp/239.93.1.235:5140
CCTV第一剧场,http://222.209.208.234:7088/rtp/239.93.1.197:5140
CCTV怀旧剧场,http://222.209.208.234:7088/rtp/239.93.1.198:5140
CCTV风云剧场,http://222.209.208.234:7088/rtp/239.93.1.156:5140
CCTV风云音乐,http://222.209.208.234:7088/rtp/239.93.0.224:5140
CCTV风云足球,http://222.209.208.234:7088/rtp/239.93.0.235:5140
CCTV女性时尚,http://222.209.208.234:7088/rtp/239.93.42.62:5140
CCTV文化精品,http://222.209.208.234:7088/rtp/239.93.42.47:5140
CCTV世界地理,http://222.209.208.234:7088/rtp/239.93.1.157:5140
CCTV央视台球,http://222.209.208.234:7088/rtp/239.93.0.218:5140
CCTV高尔夫网球,http://222.209.208.234:7088/rtp/239.93.1.54:5140

CCTV兵器科技,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.88:8000
CCTV怀旧剧场,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.91:8000
CCTV风云剧场,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.89:8000
CCTV风云音乐,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.92:8000
CCTV风云足球,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.85:8000
CCTV女性时尚,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.93:8000
CCTV文化精品,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.90:8000
CCTV世界地理,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.87:8000
CCTV央视台球,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.32:8000
CCTV高尔夫网球,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.86:8000
CCTV电视指南,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.84:8000

CCTV兵器科技,http://yulang132.cn:4022/rtp/239.93.1.235:5140
CCTV兵器科技,http://wqeeeee.x3322.net:4000/rtp/239.93.1.235:5140
CCTV兵器科技,http://1.70.33.239:8085/udp/239.1.1.97:8097
CCTV中学生,http://prettyalan.vicp.cc:8888/udp/239.61.4.188:1025
CCTV发现之旅,http://prettyalan.vicp.cc:8888/udp/239.61.4.189:1025

纪实人文,rtsp://112.111.36.140/PLTV/88888909/224/3221225683/10000100000000060000000000390171_0.smil
