📡央视频道,#genre#
福建综合,rtsp://58.22.135.10:554/PLTV/88888909/224/3221225978/10000100000000060000000004311310_0.smil
福建新闻,rtsp://58.22.135.12:554/PLTV/88888909/224/3221225776/10000100000000060000000001424177_0.smil
福建电视剧,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225777/10000100000000060000000001424229_0.smil
福建旅游,rtsp://58.22.135.12:554/PLTV/88888909/224/3221225778/10000100000000060000000001424299_0.smil
福建经济,rtsp://58.22.135.7:554/PLTV/88888909/224/3221225779/10000100000000060000000001424334_0.smil
福建文体,rtsp://58.22.135.11:554/PLTV/88888909/224/3221225780/10000100000000060000000001424371_0.smil
福建少儿,rtsp://58.22.135.12:554/PLTV/88888909/224/3221225786/10000100000000060000000001426129_0.smil
海峡卫视,rtsp://58.22.135.11:554/PLTV/88888909/224/3221225787/10000100000000060000000001426615_0.smil
FETV,rtsp://58.22.135.12:554/PLTV/88888909/224/3221225822/10000100000000060000000001619264_0.smil
厦门卫视,rtsp://58.22.135.9:554/PLTV/88888909/224/3221225706/10000100000000060000000000391859_0.smil

📡卫视频道,#genre#
东南卫视,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225983/10000100000000060000000004316570_0.smil
北京卫视,rtsp://58.22.135.7:554/PLTV/88888909/224/3221225692/10000100000000060000000000390475_0.smil
东方卫视,rtsp://58.22.135.8:554/PLTV/88888909/224/3221225688/10000100000000060000000000390279_0.smil
湖南卫视,rtsp://58.22.135.10:554/PLTV/88888909/224/3221225695/10000100000000060000000000390504_0.smil
江苏卫视,rtsp://58.22.135.10:554/PLTV/88888909/224/3221225696/10000100000000060000000000390505_0.smil
浙江卫视,rtsp://58.22.135.10:554/PLTV/88888909/224/3221225689/10000100000000060000000000390304_0.smil
河北卫视,rtsp://58.22.135.12:554/PLTV/88888909/224/3221225714/10000100000000060000000000401011_0.smil
广东卫视,rtsp://58.22.135.5:554/PLTV/88888909/224/3221225686/10000100000000060000000000390277_0.smil
山东卫视,rtsp://58.22.135.5:554/PLTV/88888909/224/3221225687/10000100000000060000000000390278_0.smil
湖北卫视,rtsp://58.22.135.10:554/PLTV/88888909/224/3221225691/10000100000000060000000000390400_0.smil
深圳卫视,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225981/10000100000000060000000004308954_0.smil
黑龙江卫视,rtsp://58.22.135.10:554/PLTV/88888909/224/3221225694/10000100000000060000000000390477_0.smil
