广电,#genre#
CCTV16奥林匹克,http://nas.jdshipin.com:8801/fjgd.php?id=cctv16hd_2000
CCTV17农业农村,http://nas.jdshipin.com:8801/fjgd.php?id=cctv17_2000
凤凰中文,http://nas.jdshipin.com:8801/fjgd.php?id=fhzwhd_2000
凤凰资讯,http://nas.jdshipin.com:8801/fjgd.php?id=fhzxhd_2000
福建导视,http://nas.jdshipin.com:8801/fjgd.php?id=dspd_1200
福建综合,http://nas.jdshipin.com:8801/fjgd.php?id=fj1hd_2000
福建新闻,http://nas.jdshipin.com:8801/fjgd.php?id=fjxwhd_2000
福建电视剧,http://nas.jdshipin.com:8801/fjgd.php?id=fjdsjhd_2000
莆田-1,http://nas.jdshipin.com:8801/fjgd.php?id=ptian1_1200
莆田-2,http://nas.jdshipin.com:8801/fjgd.php?id=ptian2hd_2000
福州-1,http://nas.jdshipin.com:8801/fjgd.php?id=fz1hd_2000
福州-2,http://nas.jdshipin.com:8801/fjgd.php?id=fz2hd_2000
福州-3,http://nas.jdshipin.com:8801/fjgd.php?id=fz3hd_2000
福州-4,http://nas.jdshipin.com:8801/fjgd.php?id=fz4hd_2000
厦门-1,http://nas.jdshipin.com:8801/fjgd.php?id=xm1hd_2000
厦门-2,http://nas.jdshipin.com:8801/fjgd.php?id=xm2hd_2000
厦门-3,http://nas.jdshipin.com:8801/fjgd.php?id=xm3hd_2000
泉州-1,http://nas.jdshipin.com:8801/fjgd.php?id=qz1_1200
泉州-2,http://nas.jdshipin.com:8801/fjgd.php?id=qz2hd_2000
泉州-3,http://nas.jdshipin.com:8801/fjgd.php?id=qz3hd_2000
泉州-4,http://nas.jdshipin.com:8801/fjgd.php?id=qz4hd_2000
宁德-1,http://nas.jdshipin.com:8801/fjgd.php?id=nd1_1200
宁德-2,http://nas.jdshipin.com:8801/fjgd.php?id=nd2hd_2000
漳州-1,http://nas.jdshipin.com:8801/fjgd.php?id=zz1_1200
漳州-2,http://nas.jdshipin.com:8801/fjgd.php?id=zz2hd_2000
南平-1,http://nas.jdshipin.com:8801/fjgd.php?id=np1_1200
南平-2,http://nas.jdshipin.com:8801/fjgd.php?id=np2_1200
三明-1,http://nas.jdshipin.com:8801/fjgd.php?id=sm1_1200
龙岩-1,http://nas.jdshipin.com:8801/fjgd.php?id=ly1_1200
平潭-1,http://nas.jdshipin.com:8801/fjgd.php?id=ptan1_1200
晋江综合,http://nas.jdshipin.com:8801/fjgd.php?id=jjdsthd_2000
东南卫视,http://nas.jdshipin.com:8801/fjgd.php?id=dnwshd_2000
厦门卫视,http://nas.jdshipin.com:8801/fjgd.php?id=xm1_1200
北京卫视,http://nas.jdshipin.com:8801/fjgd.php?id=bjwshd_2000
天津卫视,http://nas.jdshipin.com:8801/fjgd.php?id=tjwshd_2000
辽宁卫视,http://nas.jdshipin.com:8801/fjgd.php?id=lnwshd_2000
黑龙江卫视,http://nas.jdshipin.com:8801/fjgd.php?id=hljwshd_2000
东方卫视,http://nas.jdshipin.com:8801/fjgd.php?id=dfwshd_2000
江苏卫视,http://nas.jdshipin.com:8801/fjgd.php?id=jswshd_2000
浙江卫视,http://nas.jdshipin.com:8801/fjgd.php?id=zjwshd_2000
安徽卫视,http://nas.jdshipin.com:8801/fjgd.php?id=ahwshd_2000
江西卫视,http://nas.jdshipin.com:8801/fjgd.php?id=jxwshd_2000
山东卫视,http://nas.jdshipin.com:8801/fjgd.php?id=sdwshd_2000
湖北卫视,http://nas.jdshipin.com:8801/fjgd.php?id=hbwshd_2000
湖南卫视,http://nas.jdshipin.com:8801/fjgd.php?id=hnwshd_2000
广东卫视,http://nas.jdshipin.com:8801/fjgd.php?id=gdwshd_2000
深圳卫视,http://nas.jdshipin.com:8801/fjgd.php?id=szwshd_2000
贵州卫视,http://nas.jdshipin.com:8801/fjgd.php?id=gzwshd_2000
三沙卫视,http://nas.jdshipin.com:8801/fjgd.php?id=ssws_1200
金鹰卡通,http://nas.jdshipin.com:8801/fjgd.php?id=jykthd_200
CHC高清电影,http://nas.jdshipin.com:8801/fjgd.php?id=chchd_2000
CHC动作电影,http://nas.jdshipin.com:8801/fjgd.php?id=chcdzhd_2000
CHC家庭影院,http://nas.jdshipin.com:8801/fjgd.php?id=chcjthd_2000

移动,#genre#
CCTV1综合,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225922/index.m3u8?servicetype=1
CCTV2财经,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225923/index.m3u8?servicetype=1
CCTV3综艺,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227055/index.m3u8?servicetype=1
CCTV4中文国际,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226968/index.m3u8?servicetype=1
CCTV5体育,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227170/index.m3u8?servicetype=1
CCTV5体育赛事,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225939/index.m3u8?servicetype=1
CCTV6电影,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227137/index.m3u8?servicetype=1
CCTV7国防军事,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225927/index.m3u8?servicetype=1
CCTV8电视剧,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227174/index.m3u8?servicetype=1
CCTV9纪录,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225929/index.m3u8?servicetype=1
CCTV10科教,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225931/index.m3u8?servicetype=1
CCTV11戏曲,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226927/index.m3u8?servicetype=1
CCTV12社会与法,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225932/index.m3u8?servicetype=1
CCTV13新闻,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225817/index.m3u8?servicetype=1
CCTV14少儿,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225933/index.m3u8?servicetype=1
CCTV15音乐,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226989/index.m3u8?servicetype=1
CCTV16奥林匹克,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227125/index.m3u8?servicetype=1
CCTV17农业农村,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226986/index.m3u8?servicetype=1
CGTN新闻,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225822/index.m3u8?servicetype=1
CGTN纪录,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225813/index.m3u8?servicetype=1
CCTV4K超高清,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226998/index.m3u8?servicetype=1
CCTV16奥林匹克 4K,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227162/index.m3u8?servicetype=1
湖南卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227232/index.m3u8?servicetype=1
浙江卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227193/index.m3u8?servicetype=1
东南卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227156/index.m3u8?servicetype=1
东方卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227059/index.m3u8?servicetype=1
广东卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227164/index.m3u8?servicetype=1
江苏卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227160/index.m3u8?servicetype=1
北京卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227246/index.m3u8?servicetype=1
海峡卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227198/index.m3u8?servicetype=1
厦门卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226781/index.m3u8?servicetype=1
深圳卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227242/index.m3u8?servicetype=1
吉林卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227099/index.m3u8?servicetype=1
四川卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227182/index.m3u8?servicetype=1
天津卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227205/index.m3u8?servicetype=1
安徽卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227178/index.m3u8?servicetype=1
山东卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227236/index.m3u8?servicetype=1
江西卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227209/index.m3u8?servicetype=1
河北卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227063/index.m3u8?servicetype=1
河南卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227095/index.m3u8?servicetype=1
海南卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227216/index.m3u8?servicetype=1
湖北卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227111/index.m3u8?servicetype=1
云南卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227181/index.m3u8?servicetype=1
贵州卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227201/index.m3u8?servicetype=1
辽宁卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227141/index.m3u8?servicetype=1
重庆卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227240/index.m3u8?servicetype=1
黑龙江卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227197/index.m3u8?servicetype=1
内蒙古卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225846/index.m3u8?servicetype=1
宁夏卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225849/index.m3u8?servicetype=1
山西卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225839/index.m3u8?servicetype=1
广西卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225836/index.m3u8?servicetype=1
新疆卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225852/index.m3u8?servicetype=1
甘肃卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225845/index.m3u8?servicetype=1
西藏卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226847/index.m3u8?servicetype=1
陕西卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227221/index.m3u8?servicetype=1
青海卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225841/index.m3u8?servicetype=1
中国教育1,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227067/index.m3u8?servicetype=1
中国教育2,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227206/index.m3u8?servicetype=1
中国教育4,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227050/index.m3u8?servicetype=1
纪实人文,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227213/index.m3u8?servicetype=1
北京纪实,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225944/index.m3u8?servicetype=1
快乐垂钓,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227028/index.m3u8?servicetype=1
金鹰纪实,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226937/index.m3u8?servicetype=1
乐游,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227083/index.m3u8?servicetype=1
动漫秀场,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227071/index.m3u8?servicetype=1
极速汽车,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227186/index.m3u8?servicetype=1
